NAME,STAR,PER,MASS,SEP,R,PLANETDISCMETH,MSTAR,RSTAR,TEFF,DATE
KOI 4759.01,KOI 4759,17.7666128,0.01182725005742083,,0.13114484138130636,,0.961,1.048,6018,
KOI 4762.01,KOI 4762,11.5672462,0.008055380418801888,,0.11687057293164037,,0.678,0.691,4597,
KOI 3204.01,KOI 3204,0.572937573,0.011943752897771038,,0.1400662591623476,,1.553,1.593,7338,
KOI 3213.01,KOI 3213,14.1605995,0.02674099192141704,,0.2613975409845086,,2.385,3.746,8753,
KOI 4833.01,KOI 4833,4.31720867,0.003744218221213967,,0.09367488670093312,,0.979,1.31,5992,
KOI 4834.01,KOI 4834,3.74100638,0.013102580839704538,,0.15523266939011773,,1.554,3.231,5110,
KOI 3503.01,KOI 3503,21.1875846,0.0012440896714201372,,0.06869491691401762,,0.918,0.847,6338,
KOI 1873.02,KOI 1873,34.9176592,0.0349149721244087,,0.2970832121086736,,1.149,1.064,6167,
KOI 1613.02,KOI 1613,94.093962,0.0033774626661531937,,0.09099846136662075,,1.008,1.327,6044,
KOI 3365.01,KOI 3365,22.12679948,0.027454642851656882,,0.2649661080969251,,0.963,1.445,5312,
KOI 3367.01,KOI 3367,25.3734282,0.015210411519948104,,0.17932049739892908,,0.998,0.966,6195,
KOI 3368.01,KOI 3368,10.08536606,0.01200919165507888,,0.14095840094045176,,1,0.945,5947,
KOI 3434.01,KOI 3434,10.2855824,0.007251222153933125,,0.11330200581922387,,1.017,1.056,6180,
KOI 3435.01,KOI 3435,24.2159316,0.012074933219429838,,0.14185054271855588,,0.849,0.885,5659,
KOI 3436.01,KOI 3436,44.2008,0.005801588527586431,,0.10616487159439086,,0.723,0.753,5002,
KOI 3437.01,KOI 3437,15.0330105,0.004136256415679355,,0.0963513120352455,,0.837,0.917,6033,
KOI 3437.02,KOI 3437,34.7496654,0.008477834754398823,,0.11865485648784863,,0.837,0.917,6033,
KOI 3506.01,KOI 3506,12.6253041,1,,6.950676593209237,,1.278,1.844,6878,
KOI 3370.01,KOI 3370,24.352254,0.011878609310077826,,0.13917411738424348,,0.765,0.795,4922,
KOI 3370.02,KOI 3370,5.94220998,0.007251222153933125,,0.11330200581922387,,0.765,0.795,4922,
KOI 3371.01,KOI 3371,58.1266033,0.003744218221213967,,0.09367488670093312,,0.708,0.685,5356,
KOI 3372.01,KOI 3372,26.7575859,0.020438317116158008,,0.22392758630413534,,1.096,1.035,6197,
KOI 3438.01,KOI 3438,14.5564533,0.009594493778887308,,0.12311556537836923,,1.196,1.186,6425,
KOI 3439.01,KOI 3439,41.7083629,0.016099658218354126,,0.18824191517997035,,1.17,1.155,6446,
KOI 3440.01,KOI 3440,33.0256807,0.01478988332302201,,0.17485978850840847,,0.902,0.83,5853,
KOI 3515.01,KOI 3515,82.13760666,1,,21.525596822096325,,1.023,1.207,6395,
KOI 3520.01,KOI 3520,135.58604834,1,,6.487655010373197,,1.014,1.063,6074,
KOI 1875.02,KOI 1875,0.538354308,0.008055380418801888,,0.11687057293164037,,0.957,0.926,5953,
KOI 3602.01,KOI 3602,249.36251313,1,,13.199237607050527,,0.853,1.02,5940,
KOI 1627.03,KOI 1627,3.80680243,0.008694217181713183,,0.11954699826595275,,0.856,0.769,5412,
KOI 3374.01,KOI 3374,9.5085156,0.004002722177048817,,0.09545917025714137,,1.069,1.013,6328,
KOI 3374.02,KOI 3374,34.1082415,0.011305974731867624,,0.12936055782509812,,1.069,1.013,6328,
KOI 3375.01,KOI 3375,47.0564621,0.024886630055226313,,0.2515839814253632,,0.967,0.924,5889,
KOI 3377.01,KOI 3377,10.01003165,0.0038720518146814213,,0.09456702847903725,,0.507,0.508,4339,
KOI 3443.01,KOI 3443,96.16987,0.016379849649289752,,0.19091834051428275,,0.761,0.71,5334,
KOI 3444.01,KOI 3444,12.67140393,0.0015530510481207781,,0.07315562580453824,,0.6,0.598,3842,
KOI 3444.02,KOI 3444,60.32665084,1,,2.656798215194084,,0.6,0.598,3842,
KOI 3444.03,KOI 3444,2.63597899,0.0003862991904718653,,0.04906779779572688,,0.6,0.598,3842,
KOI 3445.01,KOI 3445,82.304003,0.017672411887566086,,0.20251618362963636,,0.888,0.848,5751,
KOI 3522.01,KOI 3522,241.07151271,1,,1881.8035739728116,,2.319,2.259,9541,
KOI 3605.01,KOI 3605,178.26787073,1,,2.928901457515842,,0.668,0.696,5126,
KOI 3606.01,KOI 3606,2.181558785,1,,9.235451686933901,,1.23,1.393,6570,
KOI 3608.01,KOI 3608,244.83269984,1,,3.942374517442128,,0.997,0.993,6105,
KOI 3379.01,KOI 3379,30.4549136,0.017989941138038083,,0.20519260896394872,,1.047,0.984,6283,
KOI 3383.01,KOI 3383,37.8869482,0.018315120114395567,,0.20786903429826112,,0.868,0.818,5513,
KOI 3384.01,KOI 3384,10.54842565,0.0051533972050433405,,0.10259630448197436,,1.074,1.09,6053,
KOI 3448.01,KOI 3448,32.5105998,0.014625868718771575,,0.17307550495220023,,1.043,0.982,6315,
KOI 3449.01,KOI 3449,62.12765716,1,,3.58373352264427,,0.74,0.807,5344,
KOI 3451.01,KOI 3451,10.90751111,0.012140985226052094,,0.14274268449666,,1.145,1.154,6426,
KOI 3527.01,KOI 3527,76.819845615,1,,4.294770519793257,,0.855,0.785,5668,
