NAME,STAR,PER,MASS,SEP,R,PLANETDISCMETH,MSTAR,RSTAR,TEFF,DATE,DENSITY,LUMINOSITY,MISSION
Kepler-79 b,Kepler-79,13.485,0.0343,0.114456,0.316,Timing,1.1,1.1,6187,2013,1.0870139132601389,1.5885279219495856,Kepler
Kepler-202 b,Kepler-202,4.069427,0.0121124,0.0498841,0.145419,Transit,N/A,0.667,4668,2014,3.93884575137932,0.18926228358563463,Kepler
HD 197037 b,HD 197037,1035.7,0.807324,2.07477,N/A,RV,1.11,1.09866,6150,2012,N/A,1.547091883402454,HD
HD 70642 b,HD 70642,2068,1.90944,3.18072,N/A,RV,1.002,1.03139,5705.54,2003,N/A,1.0100011515196936,HD
KELT-2 A b,KELT-2 A,4.1137912,1.52064,0.0549707,1.286,Transit,1.308,1.828,6151,2012,0.7149994952694452,4.285725088676799,KELT
Kepler-10 b,Kepler-10,0.837495,0.0142824,0.0167573,0.126327,Transit,0.895,1.056,5627,2011,7.084592493236936,1.001669651016468,Kepler
Kepler-208 e,Kepler-208,16.259458,0.0112762,0.125606,0.132037,Transit,N/A,1.314,6092,2014,4.8986685573169035,2.130685388462473,Kepler
Kepler-270 c,Kepler-270,25.262887,0.0130508,0.168498,0.157909,Transit,N/A,1.461,6067,2014,3.314505279982167,2.5911074927766653,Kepler
Kepler-225 c,Kepler-225,18.794234,0.0135483,0.138343,0.164154,Transit,N/A,0.48,3682,2014,3.0628986465852575,0.037940812755002856,Kepler
Kepler-150 d,Kepler-150,12.56093,0.0235009,0.105752,0.248907,Transit,N/A,0.939,5560,2014,1.5239664071282948,0.7549520511415033,Kepler
Kepler-405 b,Kepler-405,10.613839,0.015437,0.0945195,0.185565,Transit,N/A,0.893,5818,2014,2.41588878082045,0.8186283939041132,Kepler
Kepler-208 b,Kepler-208,4.22864,0.0121124,0.0511769,0.145419,Transit,N/A,1.314,6092,2014,3.93884575137932,2.130685388462473,Kepler
M 67 YBP 1194 b,M 67 YBP 1194,6.958,0.346328,0.0715732,N/A,RV,1.01,1.01765,5780,2014,N/A,1.0356124100849278
Kepler-325 d,Kepler-325,38.715185,0.0235009,0.223972,0.248907,Transit,N/A,1.003,5752,2014,1.5239664071282948,0.9866574377187216,Kepler
